Code system;Method;Embedding model;LLM;Accuracy;Partial Accuracy;F1 weighted (exact);F1 weighted (partial);F1 macro (exact);F1 macro (partial);Malformed
ICD-O-3;retrieval-baseline: classifier head;Qwen3-Embedding-8B;—;33.84;60.92;35.94;64.23;23.13;48.5;0.0
ICD-O-3;retrieval-baseline: classifier head;SapBERT;—;23.27;36.12;24.91;37.87;19.21;34.55;0.0
ICD-O-3;retrieval-baseline: classifier head;deepset-mxbai-embed;—;25.1;39.18;25.59;39.79;19.97;39.2;0.0
ICD-O-3;retrieval-baseline: classifier head;jina-embeddings-v2;—;23.57;35.42;24.18;35.01;19.72;36.28;0.0
ICD-O-3;retrieval-baseline: classifier head;jina-embeddings-v3;—;29.74;44.91;30.34;47.61;22.52;42.12;0.0
ICD-O-3;retrieval-baseline: classifier head;mE5;—;23.86;41.5;24.33;44.63;18.6;38.34;0.0
ICD-O-3;retrieval-baseline: classifier head;medBERT.de;—;18.77;39.28;16.17;42.22;14.72;28.68;0.0
ICD-O-3;Three-shot-prompting;random3_from_catalog_ICDO_shot_questions;Llama 3.1 base;12.59;49.37;8.29;36.78;4.03;20.01;41.16
ICD-O-3;Three-shot-prompting;random3_from_catalog_ICDO_shot_questions;Llama 3.1 PEFT;24.26;52.67;31.68;59.24;19.61;47.13;1.63
ICD-O-3;Three-shot-prompting;random3_from_catalog_ICDO_shot_questions;Llama 3.3 base;26.19;67.79;28.82;73.52;16.68;56.98;0.64
ICD-O-3;Three-shot-prompting;random3_from_catalog_ICDO_shot_questions;Llama 3.3 PEFT;38.34;62.15;46.33;69.76;30.61;63.78;0.84
ICD-O-3;RAG-prompting similarity search;ModernBERT;Llama 3.1 base;11.96;38.04;13.6;46.65;11.63;31.83;38.34
ICD-O-3;RAG-prompting similarity search;ModernBERT;Llama 3.1 PEFT;23.02;52.08;29.38;58.62;16.98;47.28;0.89
ICD-O-3;RAG-prompting similarity search;ModernBERT;Llama 3.3 base;28.66;69.32;32.32;74.69;20.15;58.2;0.49
