ICD10;Label;Rubrik
C34.1;Bösartige Neubildung: Oberlappen (-Bronchus);preferredLong
C34.2;Bösartige Neubildung: Mittellappen (-Bronchus);preferredLong
C34.2;Bösartige Neubildung: Mittellappen (-Bronchus);preferredLong
C34.3;Bösartige Neubildung: Unterlappen (-Bronchus);preferredLong
C34.3;Bösartige Neubildung: Unterlappen (-Bronchus);preferredLong
C34.8;Bösartige Neubildung: Bronchus und Lunge, mehrere Teilbereiche überlappend;preferredLong
C34.8;Bösartige Neubildung: Bronchus und Lunge, mehrere Teilbereiche überlappend;preferredLong
C34.9;Bösartige Neubildung: Bronchus oder Lunge, nicht näher bezeichnet;preferredLong
C34.9;Bösartige Neubildung: Bronchus oder Lunge, nicht näher bezeichnet;preferredLong
C37;Bösartige Neubildung des Thymus;
C38;Bösartige Neubildung des Herzens, des Mediastinums und der Pleura;
C38.0;Bösartige Neubildung: Herz;preferredLong
C38.0;Bösartige Neubildung: Herz;preferredLong
C38.1;Bösartige Neubildung: Vorderes Mediastinum;preferredLong
C38.1;Bösartige Neubildung: Vorderes Mediastinum;preferredLong
C38.2;Bösartige Neubildung: Hinteres Mediastinum;preferredLong
C38.2;Bösartige Neubildung: Hinteres Mediastinum;preferredLong
C38.3;Bösartige Neubildung: Mediastinum, Teil nicht näher bezeichnet;preferredLong
C38.3;Bösartige Neubildung: Mediastinum, Teil nicht näher bezeichnet;preferredLong
C38.4;Bösartige Neubildung: Pleura;preferredLong
C38.4;Bösartige Neubildung: Pleura;preferredLong
C38.8;Bösartige Neubildung: Herz, Mediastinum und Pleura, mehrere Teilbereiche überlappend;preferredLong
C38.8;Bösartige Neubildung: Herz, Mediastinum und Pleura, mehrere Teilbereiche überlappend;preferredLong
C39;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen des Atmungssystems und sonstiger intrathorakaler Organe;
C39.0;Bösartige Neubildung: Obere Atemwege, Teil nicht näher bezeichnet;preferredLong
C39.0;Bösartige Neubildung: Obere Atemwege, Teil nicht näher bezeichnet;preferredLong
C39.8;Bösartige Neubildung: Atmungsorgane und sonstige intrathorakale Organe, mehrere Teilbereiche überlappend;preferredLong
C39.8;Bösartige Neubildung: Atmungsorgane und sonstige intrathorakale Organe, mehrere Teilbereiche überlappend;preferredLong
